"REAL","ARM","OLS","MAG","DFM","RDG","RDG2","LAS","LAS2","RFM","BMA","ESMB"
2.4031655798919083,2.914413663755795,3.4375611992209727,2.9735605929839433,2.9537235699130457,2.9581378940597283,2.55409997719311,3.049916049475814,2.786995946076239,2.0492179525628496,4.269847950347321,2.928837093261758
2.2708551328004756,2.794144579601222,3.171231766867303,2.8514936323685625,2.833455434518488,2.8509827010248054,2.4075533748887734,3.144007179755445,2.8181510365117024,2.0330937629175203,4.371725905597337,2.872802532343372
2.696089335765439,2.5916445516326205,2.9739176781781214,2.649279960427139,2.628972224167897,2.6965482628709516,2.2735904502775925,3.0185049320549076,2.8411815126879683,2.117835435739016,3.4291339841319344,2.647376874152024
2.9062087186261465,2.5163577567456503,3.2012479152491937,2.54962193432914,2.558430941453909,2.717977793144714,2.282773748549938,3.0314198721699377,2.8718597309586777,2.188432658363152,3.071281572526834,2.5769654775610435
2.709277894504014,2.881756150165596,3.0938729186070395,2.9026411506534644,2.951063971545243,2.908513378464525,2.3270610127252143,3.0781548764716358,2.844375545993081,2.338543027157928,3.601025636516012,2.835209499250934
2.213062358101725,3.085838454401547,2.8075327190817787,3.0990598181783127,3.16539668338682,3.077112463551155,2.394385270739868,3.0450124271040098,2.803905061758076,2.2747789734984263,3.746460301336284,2.9385463661856193
2.2006101791988364,2.9458058637668594,2.948861649181818,2.9329254371825564,3.0105118011372527,2.9883753333551355,2.301099649200484,2.9430802306204846,2.7666475367302557,2.334147742630709,3.9601645139419395,2.8930432206557226
2.9211702291588537,2.6867037516927974,3.4232618727994146,2.647876171073972,2.7237167701116767,2.9318732729364303,2.4366739450085877,2.875534080939085,2.9135016376487823,2.196725723118247,3.0982728526816574,2.671924407333674
3.167251975417029,2.7365717710245523,3.7238356864846205,2.6945687502569715,2.7844364311108554,3.0122913099084623,2.449126482112138,2.910106680630075,2.919100347562736,2.1554043407107826,3.3965898618605563,2.7336854263769417
4.521183473389367,2.846708654996883,3.599452249293862,2.7876234135667497,2.905842781903586,3.071543454453341,2.428814078022464,2.9811463186251537,2.9340451818524342,1.9709069808161077,2.9337981104640787,2.686819885946043
4.231083956139869,2.946585522683012,3.353088703255314,2.886156507371776,3.0111309949963694,3.054026638128136,2.394615364827824,2.943161205812207,2.9112229031549184,1.9778420557459804,2.7889258806593857,2.7023541756341807
3.581939872244888,2.7268265814775576,3.754186519158776,2.6394612058355604,2.7640502846189507,2.871381107770509,2.124804241045865,2.653995016377896,2.7008939047716733,2.038902957724563,3.6139222326564298,2.658408772590086
3.5035732961478327,2.4947275950786727,4.25484857336549,2.389827711200534,2.522841538405272,2.715200842417229,2.0366943435288043,2.5975910247654923,2.693200447400786,1.9980590900667214,3.512479679706303,2.521118629341013
3.536520541109356,2.7489687310002533,4.51552617051743,2.6425233844255622,2.7865208545484386,2.8927716893033155,2.1676789889557924,2.545930643296685,2.699132924661579,2.0546073829342077,2.784583407005544,2.554859381933054
2.7851301275887863,3.040179178689534,4.6057797861259875,2.940865756770942,3.085008917419983,3.0400760172202514,2.208957650724957,2.647188760803087,2.7406389100658255,2.162543931814485,3.549434326084525,2.818232667367179
1.1748592950844294,3.7198441542235057,4.137863165586408,3.670825689088212,3.803127932307551,3.358070398716094,2.3555409702388417,2.6976510386805783,2.799709105534299,2.2396375531291315,3.9990376635890588,3.2268175811586572
1.718058849926285,3.511208851244494,4.0515754334217435,3.4460049776579273,3.5835079453568643,3.2269819423030603,2.271841724046987,2.7328242520270845,2.847725792988182,2.6987896016652555,2.556437493094732,2.9879309122934914
2.630085349268052,3.0176604486250804,4.491055109836558,2.9526532647471386,3.0566399090384673,2.876918023609531,2.0360695048792246,2.7205336759394143,2.6855169215505246,2.2037698669252674,3.475571938526825,2.7754116934703608
3.0663811563168775,2.9807138309515455,5.050196233530864,2.921801869623856,3.0240500708747327,2.9342406457528676,2.2676997687127267,2.7206854601900137,2.671440146648065,2.107126636168767,3.57963100649874,2.7932090470683475
2.8909189753866915,3.3084922418996014,4.545680194417304,3.294681148149924,3.373633298240847,3.1408464082279184,2.399622653355898,2.9258266235088497,2.8096710966059666,2.1722686559493884,3.9051329943197475,3.037643155503053
3.441588884626867,3.089774202036318,3.706967136815862,3.069791485276069,3.1390374470689624,2.9929971984931294,2.2188240497942893,2.872065291194922,2.7414530287150938,2.2056552869230144,3.7147198484677535,2.882750764040215
2.6061889008265116,2.9685984663864398,2.8645534122474112,2.95069916866728,2.988006120405282,2.7815272732463683,1.970784669307519,2.6825976556163296,2.6726165318264306,2.066118861450389,2.3614967916626513,2.5683315156722846
1.2309582830144716,3.0770944820349575,3.0229695588772283,3.05563589603092,3.0898026590054934,2.8658418449329233,1.916815537032677,2.657279947154101,2.6592818723282514,1.9775708859949759,2.157680914342146,2.561983178109917
0.8350156961811628,3.192786165154921,2.7914641594030254,3.1897001399458036,3.207885530156584,3.0400542875937693,2.1247546669074757,2.8826272340953576,2.8272737163743833,2.3177449367402034,2.1977879404830647,2.7225618708232058
1.1831449299814611,3.3481031763015157,2.424094215383124,3.359054801051966,3.3622410922363537,3.135700141038486,2.1831937635244594,2.9939882109611378,2.8337689219479474,2.332473320368058,2.2454523600643803,2.809183919356383
1.0970189246272355,3.285582593148451,2.719486625394047,3.268414226116678,3.295297549427783,3.0806237591709618,2.1877751827682155,2.9923190070385663,2.74542622534165,2.9359619209248455,2.4973001154311065,2.8879654018798186
