BMA,BMA2,DFM2,LAS,LAS2,RDF,RDF2,RDG,RDG2,REAL,DFM,ARM,OLS,MAG,MAG2,RWM,ESMB
1.254383943524552,4.587079747022573,2.16747925790533,2.9095444165736133,3.9964877714229425,4.345168644676516,3.2828797994005425,3.3327513586201665,2.417512434910686,2.6653209757206975,2.8163652390186384,2.946066480349745,0.5824143808018863,2.687793249697805,2.75311689516842,2.4803729690463254,2.8372944392093165
1.5378532066158803,4.581705809941971,2.382934377450094,2.9054644556029436,3.983056840042934,4.637944718791268,4.05534296089684,3.328353458281215,2.377791760537214,2.5950085082246055,2.9563629009878785,3.0704527612895247,0.8152254962675325,2.827713250555459,2.9085279040319416,2.641029243887244,3.000650609678663
0.5561497763608154,4.575705564131528,2.234514725130486,2.43958761197017,3.8867857999165754,3.9970980762598383,3.255890068780188,3.0498253802894197,2.1228383052091946,2.706300539560713,2.7750752320670924,2.8742057850245626,0.8111490272774959,2.6567285698504506,2.73146616733801,2.390965764526432,2.690532390275484
1.1464248085905793,4.570320092681063,2.577593735054611,2.511546316769965,3.846808784202308,3.8638529382094458,3.253151198176807,3.0639532168510866,2.1688703963075397,2.6049244939185368,2.9617664571691815,3.03903928647281,2.6396403359249554,2.872455902371481,2.9543276723240903,2.6049124827235866,2.9383109082553003
1.5523133004081429,4.565588052018171,2.9186626186594147,2.5549930413513873,3.8328438825256304,3.8524582684969566,3.2564301362134773,3.0981939470602256,2.077407353512861,2.563343761449799,3.1618239687299834,3.2180716326268612,3.2801128147312753,3.0648835141549884,3.1588009166587625,2.836813362786812,3.0952931206623293
0.7034360789811253,4.561133429150945,3.1142756448800366,2.4368839369062103,3.791586768754509,3.9539433602480063,3.2551097999536234,3.0867736519931723,1.875939867770749,2.5634899442047443,3.254093185391288,3.288945359272519,2.057751577843229,3.125472678972058,3.2363963910921534,2.929667008987861,2.978093916013165
1.405307443651162,4.555941262590844,2.9807493081048726,2.299420877660956,3.750181466929147,3.4163058602063527,3.252856181305296,3.0287408617173894,2.0711760176754157,2.743936671906577,3.056549921524645,3.0607771860853563,2.972614735510952,2.9254072842735064,2.99676393278494,2.639419312253135,2.960814110151598
1.7952187973006182,4.550799211820857,3.0749776833104425,2.1909649485532197,3.732972695768867,2.5154623425890703,3.2524941201663995,3.071647249131451,2.087891932855314,2.5989856250175247,3.0799795775617516,3.0635747129498156,4.607871500179658,2.9356006207734593,3.0075114297628973,2.6454792993533767,3.040829741471813
1.3111659821665045,4.546146829919156,3.337003089030197,2.403939882042729,3.689640719256244,2.641264442953737,3.24975298107057,3.218996443296331,2.19477935444416,2.4242762781214733,3.23978109043265,3.1973491795473983,3.1772518091640554,3.0875769942418674,3.1665577641794713,2.8189617671014067,3.0186778885897656
2.340074429561356,4.541257159180533,3.1982484137004064,2.585305971678089,3.7130177218035936,2.6026302366295395,3.243559721838234,3.260850245832989,2.5239011678499277,2.464297668191473,3.1481944839006735,3.1172325015083633,4.013304909227108,3.0632417399505023,3.1112052879868157,2.7185988870411744,3.1453748585126196
