BMA,BMA2,DFM2,LAS,LAS2,RDF,RDF2,RDG,RDG2,REAL,DFM,ARM,OLS,MAG,MAG2,RWM,ESMB
3.9210225746845,4.490904869270994,3.45523775616479,3.777149727855656,3.9482562119691096,4.033445570060754,3.135823145920148,3.8086228995348144,3.77126840953097,2.7462051770917206,3.988541810997936,4.21221409241573,3.34724364834676,4.184142868783847,4.312530772372578,4.094484115342592,3.898725898216745
4.471254332084103,3.912011220003288,3.2580839854776453,3.8009964003087986,3.9703738470536942,4.068937955149544,4.191418108995223,3.74873233388122,3.7787631214698503,2.9535015645872686,3.831565942796874,4.047197862280308,4.043864509838344,4.024382569815068,4.139393983346782,3.8968292017516593,3.9455870249501603
4.806958788762745,4.038353323677301,2.988950775288225,4.043579587519463,4.053885233203128,3.846773057640563,4.137750414349426,3.8664971490431586,4.140679945317971,3.245687611684467,3.6519008279934786,3.869313013013757,4.916005885157055,3.86573352842044,3.953609504753987,3.6838110167643063,3.990920136726999
4.701168304235829,4.229593901602832,2.667438378961461,3.97466222991846,4.050439403411946,3.817122415115587,3.966671848635449,3.793107095211875,4.033512625530582,3.584672435105052,3.5166207516552213,3.7634743748396087,5.080684712354904,3.719040309808881,3.812666164525937,3.558168378963982,3.912291392984837
4.63290979918079,4.887223200090184,2.3836229205148074,3.826743613319465,3.874515094291364,3.7967984078142183,4.084827544919448,3.692413788003591,3.972059648845244,4.124310194597713,3.328244262947934,3.575792508788614,5.858729368085214,3.5160845725288374,3.5997764962699415,3.3347930862068083,3.8909689541204306
4.375935336933211,3.5619647770207696,2.5417199246832975,3.5763487788791206,3.7820818006373367,3.652338513025659,3.6550146720133534,3.573490729186803,3.737641958339882,3.955231989568597,3.388133701193766,3.624309860012601,5.369870113797397,3.579805823356487,3.6709505553027,3.394913298583605,3.698967989531065
3.936000928894992,4.131493205799063,2.4213399099099098,3.5529115935510216,3.7271829564422343,3.3508057415628354,3.465678762334879,3.478154769888582,3.542485734461072,4.170208148724175,3.359362124698354,3.619448463112564,4.689401130454621,3.5741648746636954,3.666958188307451,3.3911074180839913,3.5937663868110183
3.361598408726925,2.8869089853177825,2.33492683694963,3.590630129010321,3.7629780864608984,3.41998739813755,3.757631334270587,3.357279468081253,3.2216069603370636,4.165614743751567,3.478493706289676,3.8135915149935182,4.082024092435555,3.7425464691648984,3.8679684953631814,3.625342009812009,3.4869009263567237
2.6173567647761757,2.5592797826084053,1.932845525757258,3.0118493414288103,3.4390560868962843,3.863267343216443,3.673151458848934,3.026713476093976,2.6521233862118625,3.6496088423167983,3.4434756149249086,3.871259751856971,2.3110315078114927,3.754020149848995,3.926048893836118,3.695716962343283,3.185146403097328
2.9793773719857555,2.239159632192522,1.5029540381350597,3.0403120057154416,3.460350292657163,3.7228331996973703,3.960930579987558,3.178391436052266,2.9497206965645013,3.3572627593842608,3.2474689455680625,3.703157739403951,2.761315369402949,3.585876752722843,3.732994847695003,3.4954398138207696,3.1706855147734143
