"BMA","BMA2","DFM2","LAS","LAS2","RDG","RDG2","RFM","RFM2","REAL","ARM","OLS","MAG","MAG2","DFM","RWM"
3.0573984963066634,2.84419120057152,1.5029146636995374,3.31737812722885,3.3205728558991914,3.1762640985597783,2.9497206965645018,3.7228331996973703,3.9995826549028344,3.3572627593842608,3.703157739403951,2.761315376748056,3.585876752722843,3.732994847695003,3.24746894556806,3.4954398138207696
3.232829484652547,3.012660658190979,2.0362323629551486,3.3322349585270636,3.358035394004033,3.2488831793839177,3.1311868916343553,3.61709145144996,4.214547777879784,2.8742174160500955,3.769704401843641,2.160231568326211,3.6666434681038003,3.801401298983186,3.383402263816744,3.5750502892054503
3.0455846215882394,3.1845218506473043,2.108447639203507,3.2714375222537626,3.3447741806311244,3.1309653229065586,2.954940068764087,3.601462366206224,3.971985961718916,2.891138341324817,3.575738159036924,2.8319185569350735,3.4784313098604307,3.6009385814192925,3.257069091569533,3.34309040184966
3.2116706753723157,3.20376650256123,2.291730422932719,3.3454042449407626,3.3575692319803685,3.2081403740690524,3.0530657491385402,3.5063897323053483,3.938025259120084,2.9619131975199053,3.6831201700573524,3.069031285860628,3.59061419469905,3.7242446564364764,3.363200440023765,3.471604676946751
3.4249481329909623,3.61028691004273,2.6148881769808416,3.457814279500721,3.4561213919785088,3.3783358255825067,3.3725606993324257,3.395119676476353,4.1420348198321575,3.073716193538134,3.7708549677892726,3.2896318130555464,3.692304020567178,3.8170105640323073,3.48374083446131,3.5768645005263875
3.7818642065328594,3.5844650967162996,2.797837323023124,3.3282185609328905,3.364582140776205,3.384386331333656,3.2353133799897806,3.334367535707001,3.96787371496079,3.5207668857600627,3.6756070785300285,3.8707938786937963,3.6226047723042964,3.728074131432804,3.450586098301713,3.4636268506979713
3.4594626099159376,3.5500870283259243,3.1065340856587116,3.179794642019048,3.273519246210931,3.383170465072237,3.0516701813742153,3.3786403418749336,3.779404242520382,2.8522252274403748,3.694094635143319,3.819782190529731,3.638727332560822,3.755029121226398,3.5241151764510255,3.486932500553065
2.680876245976444,2.598146369378817,3.4273728150076037,3.356187737936541,3.4272509651063077,3.346321635688166,2.7790471406492667,5.795278834158868,3.3508790613545596,2.069013886940674,3.713895748444434,2.412683845394315,3.6557395407498094,3.769659035895936,3.6073493630965867,3.5124458825318166
3.2846999481024195,3.4431016528937115,3.627900817277749,3.459204390878384,3.4913602382158366,3.639199834557343,3.2261716687821274,6.440284774249971,3.6198214852676562,1.3164344233596914,3.6467501551614294,3.641535469087992,3.586774993243552,3.689896354923338,3.606639277647553,3.4338284011899254
4.12366759525679,3.907048521257922,4.056337233874416,3.636775400347262,3.6510380991961244,3.9529934316994773,3.81493440178146,6.317537239988537,3.7715858288911748,1.0997451384282098,3.765343924019959,5.04116445032957,3.7462741853489856,3.83684362990642,3.790766071606569,3.5773333602026023
4.502317840934471,4.58551985405797,4.450880864125217,3.53967892282814,3.6075375644118632,4.079118628990967,4.055593575466001,6.76779580860151,4.167514858118337,1.1517249778179917,3.8085398107092554,6.101353992952092,3.8412255964902235,3.916153149745634,3.9263666562129607,3.630444302833184
4.590405072623652,4.962871513319907,4.568339667919276,3.5444064978327274,3.6551689002677,4.120900964119124,4.258000378595947,6.754474200790821,4.092612076529329,0.256285931980349,3.779258856683747,6.920689176133011,3.803025443969003,3.870308524132301,3.9430387980448884,3.596291325487322
3.4911678728920688,3.8238371273617515,3.5497970268130565,3.1893536126341875,3.3006193463015565,3.705998588302669,3.669193922895565,6.895005383839263,4.196823378895848,0.48831168831169336,3.3672087370257224,4.8575902498330965,3.3387527036680167,3.411606618499277,3.415621614071479,3.105624732918492
