REAL,DFM,ARM,OLS,MAG,MAG2,RWM
0.806002065,1.159825536,0.718695826,3.78666266,0.758652858,0.676890185,0.190577253
0.311978326,1.225096121,0.785569244,3.787801038,0.826889645,0.74604888,0.272644353
0.358902887,1.224899789,0.768550069,2.925483726,0.80688251,0.730247791,0.249106146
0.286029204,1.300451572,0.792234357,2.705459753,0.834126821,0.756035901,0.275819106
0.577797625,1.219982957,0.676864433,3.343036629,0.730955804,0.640103978,0.137069839
1.153457183,1.219553378,0.705938547,2.949893613,0.74889487,0.66990687,0.171396877
1.25967052,1.314948261,0.847868244,2.694893365,0.880420485,0.815157172,0.342427063
1.675865712,1.400494674,0.960342935,2.749326936,0.994676507,0.932137416,0.479727153
1.558521859,1.783809202,1.44325671,1.808319245,1.459049122,1.427882617,1.061332432
1.999345073,1.69220147,1.270218819,2.074454401,1.302222087,1.250636193,0.855702869
2.16458871,1.64945667,1.205932467,1.553004979,1.224663529,1.182207298,0.779635562
1.958510735,1.785179252,1.438489451,1.330607724,1.449619762,1.421882231,1.058301234
1.763716286,1.707385027,1.376772914,1.2465327,1.398872905,1.359677542,0.983999405
1.853424138,1.626391265,1.345584834,1.201596359,1.355402581,1.325207034,0.945628514
2.488428537,1.608907088,1.316666218,1.555401857,1.321171551,1.293938794,0.91124112
2.330796596,1.714471819,1.471875352,2.161049021,1.470642634,1.452836802,1.096935084
1.470760102,1.809447283,1.665975821,1.408854875,1.644607998,1.649736104,1.329179553
1.490970746,1.890303526,1.822966184,1.578047854,1.801726144,1.811687638,1.517811685
1.253395734,1.828243512,1.787030701,1.1550391,1.759469357,1.773249471,1.474568301
0.970109182,1.850264345,2.000235734,1.510797937,1.961307035,1.991578845,1.731059518
0.317256621,1.902877571,2.219429661,1.429873884,2.171708773,2.216563684,1.994131977
0.534145234,1.921294063,2.34034877,0.674785161,2.280511232,2.338961973,2.139484632
1.827706532,1.702220805,2.048679803,1.217031936,2.014977711,2.044683914,1.788593308
1.675838364,1.669774252,1.97030522,1.362886327,1.937569375,1.964511697,1.694951574
2.279126127,1.629490646,1.788236825,1.382671306,1.758309087,1.777156942,1.476661215
2.418909531,1.646274408,1.704787926,1.643043381,1.689868058,1.695287463,1.377722093
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
